yr-mn	yr	mn	id	total	pdo	fi	ped	bike	len_lane	tot_l	pdo_l	fi_l	ped_l	bike_l	time	level	trend	tsp	tsp_time	tsp_level	tsp_trend	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12
1997-3	1997	3	1	115	59	56	2	0	81.06	142	73	69	2	0	27	0	0	1	27	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1997-4	1997	4	1	136	78	58	1	2	81.06	168	96	72	1	2	28	0	0	1	28	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1997-5	1997	5	1	140	79	61	4	1	81.06	173	97	75	5	1	29	0	0	1	29	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1997-6	1997	6	1	129	56	73	4	2	81.06	159	69	90	5	2	30	0	0	1	30	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1997-7	1997	7	1	161	96	65	2	3	81.06	199	118	80	2	4	31	0	0	1	31	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1997-8	1997	8	1	113	62	51	5	0	81.06	139	76	63	6	0	32	0	0	1	32	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1997-9	1997	9	1	142	67	75	4	3	81.06	175	83	93	5	4	33	0	0	1	33	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1997-10	1997	10	1	133	47	86	8	2	81.06	164	58	106	10	2	34	0	0	1	34	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1997-11	1997	11	1	132	50	82	7	2	81.06	163	62	101	9	2	35	0	0	1	35	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1997-12	1997	12	1	128	64	64	8	1	81.06	158	79	79	10	1	36	0	0	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1998-1	1998	1	1	141	83	58	4	1	81.06	174	102	72	5	1	37	0	0	1	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1998-2	1998	2	1	147	86	61	7	1	81.06	181	106	75	9	1	38	0	0	1	38	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1998-3	1998	3	1	167	94	73	7	2	81.06	206	116	90	9	2	39	0	0	1	39	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1998-4	1998	4	1	146	94	52	3	0	81.06	180	116	64	4	0	40	0	0	1	40	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1998-5	1998	5	1	159	97	62	5	1	81.06	196	120	76	6	1	41	0	0	1	41	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1998-6	1998	6	1	140	83	57	5	2	81.06	173	102	70	6	2	42	0	0	1	42	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1998-7	1998	7	1	147	76	71	1	1	81.06	181	94	88	1	1	43	0	0	1	43	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1998-8	1998	8	1	146	91	55	3	3	81.06	180	112	68	4	4	44	0	0	1	44	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1998-9	1998	9	1	81	49	32	3	2	81.06	100	60	39	4	2	45	0	0	1	45	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1998-10	1998	10	1	127	77	50	3	2	81.06	157	95	62	4	2	46	0	0	1	46	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1998-11	1998	11	1	122	73	49	2	2	81.06	150	90	60	2	2	47	0	0	1	47	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1998-12	1998	12	1	98	64	34	5	0	81.06	121	79	42	6	0	48	0	0	1	48	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1999-1	1999	1	1	122	75	47	6	1	81.06	150	93	58	7	1	49	0	0	1	49	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1999-2	1999	2	1	104	60	44	2	1	81.06	128	74	54	2	1	50	0	0	1	50	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1999-3	1999	3	1	125	76	49	4	2	81.06	154	94	60	5	2	51	0	0	1	51	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1999-4	1999	4	1	129	82	47	2	3	81.06	159	101	58	2	4	52	0	0	1	52	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1999-5	1999	5	1	127	64	63	4	1	81.06	157	79	78	5	1	53	0	0	1	53	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1999-6	1999	6	1	114	63	51	4	3	81.06	141	78	63	5	4	54	0	0	1	54	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1999-7	1999	7	1	130	75	55	3	1	81.06	160	93	68	4	1	55	0	0	1	55	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1999-8	1999	8	1	146	81	65	3	5	81.06	180	100	80	4	6	56	0	0	1	56	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1999-9	1999	9	1	101	57	44	4	1	81.06	125	70	54	5	1	57	0	0	1	57	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1999-10	1999	10	1	162	90	72	6	3	81.06	200	111	89	7	4	58	0	0	1	58	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1999-11	1999	11	1	139	88	51	5	0	81.06	171	109	63	6	0	59	0	0	1	59	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1999-12	1999	12	1	108	67	41	11	0	81.06	133	83	51	14	0	60	0	0	1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2000-1	2000	1	1	107	68	39	4	4	81.06	132	84	48	5	5	61	0	0	1	61	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2000-2	2000	2	1	151	99	52	1	3	81.06	186	122	64	1	4	62	0	0	1	62	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2000-3	2000	3	1	154	93	61	5	3	81.06	190	115	75	6	4	63	0	0	1	63	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2000-4	2000	4	1	151	92	59	4	2	81.06	186	113	73	5	2	64	0	0	1	64	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2000-5	2000	5	1	159	95	64	3	2	81.06	196	117	79	4	2	65	0	0	1	65	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2000-6	2000	6	1	103	65	38	1	1	81.06	127	80	47	1	1	66	0	0	1	66	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2000-7	2000	7	1	94	52	42	2	2	81.06	116	64	52	2	2	67	0	0	1	67	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2000-8	2000	8	1	123	78	45	2	5	81.06	152	96	56	2	6	68	0	0	1	68	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2000-9	2000	9	1	111	65	46	0	3	81.06	137	80	57	0	4	69	0	0	1	69	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2000-10	2000	10	1	95	53	42	1	2	81.06	117	65	52	1	2	70	0	0	1	70	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2000-11	2000	11	1	90	58	32	2	0	81.06	111	72	39	2	0	71	0	0	1	71	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2000-12	2000	12	1	109	66	43	6	4	81.06	134	81	53	7	5	72	0	0	1	72	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2001-1	2001	1	1	131	81	50	2	0	81.06	162	100	62	2	0	73	0	0	1	73	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2001-2	2001	2	1	134	85	49	2	0	81.06	165	105	60	2	0	74	0	0	1	74	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2001-3	2001	3	1	118	72	46	3	0	81.06	146	89	57	4	0	75	0	0	1	75	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2001-4	2001	4	1	114	70	44	1	2	81.06	141	86	54	1	2	76	0	0	1	76	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2001-5	2001	5	1	97	67	30	4	2	81.06	120	83	37	5	2	77	0	0	1	77	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2001-6	2001	6	1	118	75	43	2	0	81.06	146	93	53	2	0	78	0	0	1	78	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2001-7	2001	7	1	166	94	72	5	4	81.06	205	116	89	6	5	79	0	0	1	79	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2001-8	2001	8	1	113	70	43	5	4	81.06	139	86	53	6	5	80	0	0	1	80	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2001-9	2001	9	1	92	51	41	3	0	81.06	113	63	51	4	0	81	0	0	1	81	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2001-10	2001	10	1	96	51	45	3	0	81.06	118	63	56	4	0	82	0	0	1	82	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2001-11	2001	11	1	117	72	45	3	3	81.06	144	89	56	4	4	83	0	0	1	83	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2001-12	2001	12	1	99	57	42	2	0	81.06	122	70	52	2	0	84	0	0	1	84	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2002-1	2002	1	1	149	85	64	4	3	81.06	184	105	79	5	4	85	0	0	1	85	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2002-2	2002	2	1	149	97	52	4	1	81.06	184	120	64	5	1	86	0	0	1	86	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2002-3	2002	3	1	143	90	53	4	0	81.06	176	111	65	5	0	87	0	0	1	87	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2002-4	2002	4	1	135	82	53	1	0	81.06	167	101	65	1	0	88	0	0	1	88	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2002-5	2002	5	1	82	52	30	3	2	81.06	101	64	37	4	2	89	0	0	1	89	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2002-6	2002	6	1	106	56	50	2	3	81.06	131	69	62	2	4	90	0.25	0.25	1	90	0.25	0.25	0	0	0	0	0	1	0	0	0	0	0	0
2002-7	2002	7	1	94	56	38	1	1	81.06	116	69	47	1	1	91	0.41	0.82	1	91	0.41	0.82	0	0	0	0	0	0	1	0	0	0	0	0
2002-8	2002	8	1	102	61	41	1	2	81.06	126	75	51	1	2	92	0.49	1.48	1	92	0.49	1.48	0	0	0	0	0	0	0	1	0	0	0	0
2002-9	2002	9	1	139	76	63	3	9	81.06	171	94	78	4	11	93	0.55	2.19	1	93	0.55	2.19	0	0	0	0	0	0	0	0	1	0	0	0
2002-10	2002	10	1	178	105	73	2	2	81.06	220	130	90	2	2	94	0.66	3.32	1	94	0.66	3.32	0	0	0	0	0	0	0	0	0	1	0	0
2002-11	2002	11	1	156	97	59	6	0	81.06	192	120	73	7	0	95	0.82	4.93	1	95	0.82	4.93	0	0	0	0	0	0	0	0	0	0	1	0
2002-12	2002	12	1	156	105	51	1	2	81.06	192	130	63	1	2	96	1	7	1	96	1	7	0	0	0	0	0	0	0	0	0	0	0	1
2003-1	2003	1	1	146	85	61	3	0	81.06	180	105	75	4	0	97	1	8	1	97	1	8	1	0	0	0	0	0	0	0	0	0	0	0
2003-2	2003	2	1	135	101	34	2	1	81.06	167	125	42	2	1	98	1	9	1	98	1	9	0	1	0	0	0	0	0	0	0	0	0	0
2003-3	2003	3	1	132	75	57	5	2	81.06	163	93	70	6	2	99	1	10	1	99	1	10	0	0	1	0	0	0	0	0	0	0	0	0
2003-4	2003	4	1	155	91	64	1	3	81.06	191	112	79	1	4	100	1	11	1	100	1	11	0	0	0	1	0	0	0	0	0	0	0	0
2003-5	2003	5	1	107	55	52	2	3	81.06	132	68	64	2	4	101	1	12	1	101	1	12	0	0	0	0	1	0	0	0	0	0	0	0
2003-6	2003	6	1	126	80	46	1	2	81.06	155	99	57	1	2	102	1	13	1	102	1	13	0	0	0	0	0	1	0	0	0	0	0	0
2003-7	2003	7	1	110	72	38	0	4	81.06	136	89	47	0	5	103	1	14	1	103	1	14	0	0	0	0	0	0	1	0	0	0	0	0
2003-8	2003	8	1	151	98	53	0	5	81.06	186	121	65	0	6	104	1	15	1	104	1	15	0	0	0	0	0	0	0	1	0	0	0	0
2003-9	2003	9	1	121	75	46	5	3	81.06	149	93	57	6	4	105	1	16	1	105	1	16	0	0	0	0	0	0	0	0	1	0	0	0
2003-10	2003	10	1	164	98	66	5	5	81.06	202	121	81	6	6	106	1	17	1	106	1	17	0	0	0	0	0	0	0	0	0	1	0	0
2003-11	2003	11	1	99	60	39	2	0	81.06	122	74	48	2	0	107	1	18	1	107	1	18	0	0	0	0	0	0	0	0	0	0	1	0
2003-12	2003	12	1	139	81	58	8	1	81.06	171	100	72	10	1	108	1	19	1	108	1	19	0	0	0	0	0	0	0	0	0	0	0	1
2004-1	2004	1	1	84	38	46	3	0	81.06	104	47	57	4	0	109	1	20	1	109	1	20	1	0	0	0	0	0	0	0	0	0	0	0
2004-2	2004	2	1	70	33	37	1	0	81.06	86	41	46	1	0	110	1	21	1	110	1	21	0	1	0	0	0	0	0	0	0	0	0	0
2004-3	2004	3	1	90	47	43	2	1	81.06	111	58	53	2	1	111	1	22	1	111	1	22	0	0	1	0	0	0	0	0	0	0	0	0
2004-4	2004	4	1	102	54	48	2	1	81.06	126	67	59	2	1	112	1	23	1	112	1	23	0	0	0	1	0	0	0	0	0	0	0	0
2004-5	2004	5	1	76	43	33	0	3	81.06	94	53	41	0	4	113	1	24	1	113	1	24	0	0	0	0	1	0	0	0	0	0	0	0
2004-6	2004	6	1	95	54	41	1	3	81.06	117	67	51	1	4	114	1	25	1	114	1	25	0	0	0	0	0	1	0	0	0	0	0	0
2004-7	2004	7	1	87	50	37	1	0	81.06	107	62	46	1	0	115	1	26	1	115	1	26	0	0	0	0	0	0	1	0	0	0	0	0
2004-8	2004	8	1	117	62	55	4	3	81.06	144	76	68	5	4	116	1	27	1	116	1	27	0	0	0	0	0	0	0	1	0	0	0	0
2004-9	2004	9	1	93	53	40	3	7	81.06	115	65	49	4	9	117	1	28	1	117	1	28	0	0	0	0	0	0	0	0	1	0	0	0
2004-10	2004	10	1	122	64	58	2	5	81.06	150	79	72	2	6	118	1	29	1	118	1	29	0	0	0	0	0	0	0	0	0	1	0	0
2004-11	2004	11	1	119	75	44	6	3	81.06	147	93	54	7	4	119	1	30	1	119	1	30	0	0	0	0	0	0	0	0	0	0	1	0
2004-12	2004	12	1	108	63	45	1	0	81.06	133	78	56	1	0	120	1	31	1	120	1	31	0	0	0	0	0	0	0	0	0	0	0	1
2005-1	2005	1	1	87	45	42	2	0	81.06	107	56	52	2	0	121	1	32	1	121	1	32	1	0	0	0	0	0	0	0	0	0	0	0
2005-2	2005	2	1	98	57	41	6	1	81.06	121	70	51	7	1	122	1	33	1	122	1	33	0	1	0	0	0	0	0	0	0	0	0	0
2005-3	2005	3	1	96	53	43	0	1	81.06	118	65	53	0	1	123	1	34	1	123	1	34	0	0	1	0	0	0	0	0	0	0	0	0
2005-4	2005	4	1	94	57	37	1	0	81.06	116	70	46	1	0	124	1	35	1	124	1	35	0	0	0	1	0	0	0	0	0	0	0	0
2005-5	2005	5	1	80	43	37	1	0	81.06	99	53	46	1	0	125	1	36	1	125	1	36	0	0	0	0	1	0	0	0	0	0	0	0
2005-6	2005	6	1	92	47	45	1	2	81.06	113	58	56	1	2	126	1	37	1	126	1	37	0	0	0	0	0	1	0	0	0	0	0	0
2005-7	2005	7	1	88	54	34	4	2	81.06	109	67	42	5	2	127	1	38	1	127	1	38	0	0	0	0	0	0	1	0	0	0	0	0
2005-8	2005	8	1	116	60	56	3	3	81.06	143	74	69	4	4	128	1	39	1	128	1	39	0	0	0	0	0	0	0	1	0	0	0	0
2005-9	2005	9	1	105	57	48	3	2	81.06	130	70	59	4	2	129	1	40	1	129	1	40	0	0	0	0	0	0	0	0	1	0	0	0
2005-10	2005	10	1	106	61	45	4	2	81.06	131	75	56	5	2	130	1	41	1	130	1	41	0	0	0	0	0	0	0	0	0	1	0	0
2005-11	2005	11	1	96	59	37	2	0	81.06	118	73	46	2	0	131	1	42	1	131	1	42	0	0	0	0	0	0	0	0	0	0	1	0
2005-12	2005	12	1	121	87	34	1	1	81.06	149	107	42	1	1	132	1	43	1	132	1	43	0	0	0	0	0	0	0	0	0	0	0	1
2006-1	2006	1	1	103	61	42	2	1	81.06	127	75	52	2	1	133	1	44	1	133	1	44	1	0	0	0	0	0	0	0	0	0	0	0
2006-2	2006	2	1	81	43	38	2	3	81.06	100	53	47	2	4	134	1	45	1	134	1	45	0	1	0	0	0	0	0	0	0	0	0	0
2006-3	2006	3	1	81	43	38	3	0	81.06	100	53	47	4	0	135	1	46	1	135	1	46	0	0	1	0	0	0	0	0	0	0	0	0
2006-4	2006	4	1	92	53	39	4	0	81.06	113	65	48	5	0	136	1	47	1	136	1	47	0	0	0	1	0	0	0	0	0	0	0	0
2006-5	2006	5	1	100	50	50	2	6	81.06	123	62	62	2	7	137	1	48	1	137	1	48	0	0	0	0	1	0	0	0	0	0	0	0
2006-6	2006	6	1	87	42	45	2	1	81.06	107	52	56	2	1	138	1	49	1	138	1	49	0	0	0	0	0	1	0	0	0	0	0	0
2006-7	2006	7	1	90	45	45	3	0	81.06	111	56	56	4	0	139	1	50	1	139	1	50	0	0	0	0	0	0	1	0	0	0	0	0
2006-8	2006	8	1	102	52	50	0	5	81.06	126	64	62	0	6	140	1	51	1	140	1	51	0	0	0	0	0	0	0	1	0	0	0	0
2006-9	2006	9	1	111	58	53	3	6	81.06	137	72	65	4	7	141	1	52	1	141	1	52	0	0	0	0	0	0	0	0	1	0	0	0
2006-10	2006	10	1	112	75	37	4	2	81.06	138	93	46	5	2	142	1	53	1	142	1	53	0	0	0	0	0	0	0	0	0	1	0	0
2006-11	2006	11	1	106	64	42	9	4	81.06	131	79	52	11	5	143	1	54	1	143	1	54	0	0	0	0	0	0	0	0	0	0	1	0
2006-12	2006	12	1	125	75	50	4	1	81.06	154	93	62	5	1	144	1	55	1	144	1	55	0	0	0	0	0	0	0	0	0	0	0	1
2007-1	2007	1	1	90	58	32	5	0	81.06	111	72	39	6	0	145	1	56	1	145	1	56	1	0	0	0	0	0	0	0	0	0	0	0
2007-2	2007	2	1	100	60	40	4	0	81.06	123	74	49	5	0	146	1	57	1	146	1	57	0	1	0	0	0	0	0	0	0	0	0	0
2007-3	2007	3	1	103	58	45	1	0	81.06	127	72	56	1	0	147	1	58	1	147	1	58	0	0	1	0	0	0	0	0	0	0	0	0
2007-4	2007	4	1	96	57	39	4	1	81.06	118	70	48	5	1	148	1	59	1	148	1	59	0	0	0	1	0	0	0	0	0	0	0	0
2007-5	2007	5	1	105	49	56	4	4	81.06	130	60	69	5	5	149	1	60	1	149	1	60	0	0	0	0	1	0	0	0	0	0	0	0
2007-6	2007	6	1	71	43	28	1	1	81.06	88	53	35	1	1	150	1	61	1	150	1	61	0	0	0	0	0	1	0	0	0	0	0	0
2007-7	2007	7	1	71	41	30	2	1	81.06	88	51	37	2	1	151	1	62	1	151	1	62	0	0	0	0	0	0	1	0	0	0	0	0
2007-8	2007	8	1	91	53	38	1	2	81.06	112	65	47	1	2	152	1	63	1	152	1	63	0	0	0	0	0	0	0	1	0	0	0	0
2007-9	2007	9	1	93	55	38	3	4	81.06	115	68	47	4	5	153	1	64	1	153	1	64	0	0	0	0	0	0	0	0	1	0	0	0
2007-10	2007	10	1	119	73	46	5	1	81.06	147	90	57	6	1	154	1	65	1	154	1	65	0	0	0	0	0	0	0	0	0	1	0	0
2007-11	2007	11	1	105	64	41	2	0	81.06	130	79	51	2	0	155	1	66	1	155	1	66	0	0	0	0	0	0	0	0	0	0	1	0
2007-12	2007	12	1	99	63	36	6	1	81.06	122	78	44	7	1	156	1	67	1	156	1	67	0	0	0	0	0	0	0	0	0	0	0	1
2008-1	2008	1	1	89	55	34	3	2	81.06	110	68	42	4	2	157	1	68	1	157	1	68	1	0	0	0	0	0	0	0	0	0	0	0
2008-2	2008	2	1	72	44	28	3	1	81.06	89	54	35	4	1	158	1	69	1	158	1	69	0	1	0	0	0	0	0	0	0	0	0	0
2008-3	2008	3	1	84	51	33	2	2	81.06	104	63	41	2	2	159	1	70	1	159	1	70	0	0	1	0	0	0	0	0	0	0	0	0
2008-4	2008	4	1	102	58	44	5	2	81.06	126	72	54	6	2	160	1	71	1	160	1	71	0	0	0	1	0	0	0	0	0	0	0	0
2008-5	2008	5	1	104	63	41	4	2	81.06	128	78	51	5	2	161	1	72	1	161	1	72	0	0	0	0	1	0	0	0	0	0	0	0
2008-6	2008	6	1	113	58	55	2	3	81.06	139	72	68	2	4	162	1	73	1	162	1	73	0	0	0	0	0	1	0	0	0	0	0	0
2008-7	2008	7	1	82	37	45	3	2	81.06	101	46	56	4	2	163	1	74	1	163	1	74	0	0	0	0	0	0	1	0	0	0	0	0
2008-8	2008	8	1	98	54	44	4	3	81.06	121	67	54	5	4	164	1	75	1	164	1	75	0	0	0	0	0	0	0	1	0	0	0	0
2008-9	2008	9	1	94	47	47	2	6	81.06	116	58	58	2	7	165	1	76	1	165	1	76	0	0	0	0	0	0	0	0	1	0	0	0
2008-10	2008	10	1	110	51	59	8	2	81.06	136	63	73	10	2	166	1	77	1	166	1	77	0	0	0	0	0	0	0	0	0	1	0	0
2008-11	2008	11	1	96	42	54	2	1	81.06	118	52	67	2	1	167	1	78	1	167	1	78	0	0	0	0	0	0	0	0	0	0	1	0
2008-12	2008	12	1	80	41	39	5	1	81.06	99	51	48	6	1	168	1	79	1	168	1	79	0	0	0	0	0	0	0	0	0	0	0	1
2009-1	2009	1	1	86	49	37	5	0	81.06	106	60	46	6	0	169	1	80	1	169	1	80	1	0	0	0	0	0	0	0	0	0	0	0
2009-2	2009	2	1	83	38	45	7	2	81.06	102	47	56	9	2	170	1	81	1	170	1	81	0	1	0	0	0	0	0	0	0	0	0	0
2009-3	2009	3	1	85	38	47	1	1	81.06	105	47	58	1	1	171	1	82	1	171	1	82	0	0	1	0	0	0	0	0	0	0	0	0
2009-4	2009	4	1	106	48	58	1	5	81.06	131	59	72	1	6	172	1	83	1	172	1	83	0	0	0	1	0	0	0	0	0	0	0	0
2009-5	2009	5	1	101	50	51	5	2	81.06	125	62	63	6	2	173	1	84	1	173	1	84	0	0	0	0	1	0	0	0	0	0	0	0
2009-6	2009	6	1	94	47	47	1	4	81.06	116	58	58	1	5	174	1	85	1	174	1	85	0	0	0	0	0	1	0	0	0	0	0	0
2009-7	2009	7	1	86	36	50	2	5	81.06	106	44	62	2	6	175	1	86	1	175	1	86	0	0	0	0	0	0	1	0	0	0	0	0
2009-8	2009	8	1	100	40	60	1	7	81.06	123	49	74	1	9	176	1	87	1	176	1	87	0	0	0	0	0	0	0	1	0	0	0	0
2009-9	2009	9	1	87	46	41	2	2	81.06	107	57	51	2	2	177	1	88	1	177	1	88	0	0	0	0	0	0	0	0	1	0	0	0
2009-10	2009	10	1	77	35	42	0	5	81.06	95	43	52	0	6	178	1	89	1	178	1	89	0	0	0	0	0	0	0	0	0	1	0	0
2009-11	2009	11	1	99	43	56	9	3	81.06	122	53	69	11	4	179	1	90	1	179	1	90	0	0	0	0	0	0	0	0	0	0	1	0
2009-12	2009	12	1	129	51	78	3	3	81.06	159	63	96	4	4	180	1	91	1	180	1	91	0	0	0	0	0	0	0	0	0	0	0	1
2010-1	2010	1	1	108	48	60	3	1	81.06	133	59	74	4	1	181	1	92	1	181	1	92	1	0	0	0	0	0	0	0	0	0	0	0
2010-2	2010	2	1	109	61	48	4	3	81.06	134	75	59	5	4	182	1	93	1	182	1	93	0	1	0	0	0	0	0	0	0	0	0	0
2010-3	2010	3	1	109	59	50	2	3	81.06	134	73	62	2	4	183	1	94	1	183	1	94	0	0	1	0	0	0	0	0	0	0	0	0
2010-4	2010	4	1	105	42	63	6	1	81.06	130	52	78	7	1	184	1	95	1	184	1	95	0	0	0	1	0	0	0	0	0	0	0	0
2010-5	2010	5	1	125	51	74	2	2	81.06	154	63	91	2	2	185	1	96	1	185	1	96	0	0	0	0	1	0	0	0	0	0	0	0
